cloud-cover,date
26,2016-12-22
26,2017-01-01
21,2017-01-11
16,2017-02-10
24,2017-02-20
28,2017-03-02
2,2017-03-12
0,2017-04-01
3,2017-04-11
41,2017-05-01
0,2017-05-11
5,2017-05-21
24,2017-05-31
3,2017-06-20
29,2017-07-10
0,2017-07-20
21,2017-07-30
0,2017-08-09
0,2017-08-19
1,2017-09-08
28,2017-09-18
3,2017-09-28
7,2017-10-08
0,2017-10-28
1,2017-11-07
40,2017-11-17
12,2017-11-27
30,2017-12-02
15,2017-12-07
22,2017-12-17
2,2017-12-27
7,2018-01-01
27,2018-01-06
36,2018-01-26
42,2018-02-15
3,2018-03-17
41,2018-04-16
0,2018-04-26
30,2018-05-06
27,2018-05-26
0,2018-06-05
2,2018-06-15
39,2018-06-25
4,2018-07-05
0,2018-07-15
15,2018-07-25
1,2018-08-04
2,2018-08-14
0,2018-08-24
0,2018-09-03
14,2018-09-13
39,2018-10-03
13,2018-10-23
17,2018-11-02
11,2018-11-12
23,2018-11-22
3,2018-12-02
46,2019-01-01
32,2019-01-21
1,2019-02-20
21,2019-03-02
5,2019-03-12
46,2019-04-11
43,2019-04-21
27,2019-04-26
50,2019-05-01
1,2019-05-11
47,2019-05-21
32,2019-06-10
0,2019-06-20
3,2019-06-30
2,2019-07-20
11,2019-07-30
0,2019-08-09
