cloud,cloud_m,date,x,y
0,,2016-12-22,7680,10240
529,1.0,2017-01-01,7680,10240
18953,1.0,2017-01-11,7680,10240
1907,1.0,2017-02-10,7680,10240
211,1.0,2017-02-20,7680,10240
30754,1.0,2017-03-02,7680,10240
4168,1.0,2017-03-12,7680,10240
0,,2017-04-01,7680,10240
0,,2017-04-11,7680,10240
116513,1.0,2017-05-01,7680,10240
0,,2017-05-11,7680,10240
139,1.0,2017-05-21,7680,10240
0,,2017-05-31,7680,10240
0,,2017-06-20,7680,10240
13848,1.0,2017-07-10,7680,10240
0,,2017-07-20,7680,10240
15445,1.0,2017-07-30,7680,10240
0,,2017-08-09,7680,10240
0,,2017-08-19,7680,10240
0,,2017-09-08,7680,10240
41304,1.0,2017-09-18,7680,10240
0,,2017-09-28,7680,10240
927,1.0,2017-10-08,7680,10240
0,,2017-10-28,7680,10240
127,1.0,2017-11-07,7680,10240
110304,1.0,2017-11-17,7680,10240
74795,1.0,2017-11-27,7680,10240
0,,2017-12-07,7680,10240
7394,1.0,2017-12-17,7680,10240
19,1.0,2017-12-27,7680,10240
45441,1.0,2018-01-06,7680,10240
195365,1.0,2018-01-26,7680,10240
0,,2018-02-15,7680,10240
9065,1.0,2018-03-17,7680,10240
25078,1.0,2018-04-16,7680,10240
0,,2018-04-26,7680,10240
46466,1.0,2018-05-06,7680,10240
6024,1.0,2018-05-26,7680,10240
0,,2018-06-05,7680,10240
1914,1.0,2018-06-15,7680,10240
0,,2018-06-25,7680,10240
6680,1.0,2018-07-05,7680,10240
0,,2018-07-15,7680,10240
0,,2018-07-25,7680,10240
0,,2018-08-04,7680,10240
0,,2018-08-14,7680,10240
0,,2018-08-24,7680,10240
0,,2018-09-03,7680,10240
19223,1.0,2018-09-13,7680,10240
11280,1.0,2018-10-03,7680,10240
419,1.0,2018-10-23,7680,10240
0,,2018-11-02,7680,10240
6436,1.0,2018-11-12,7680,10240
882,1.0,2018-11-22,7680,10240
2658,1.0,2018-12-02,7680,10240
92189,1.0,2019-01-01,7680,10240
23005,1.0,2019-01-21,7680,10240
0,,2019-02-20,7680,10240
0,,2019-03-02,7680,10240
0,,2019-03-12,7680,10240
1786,1.0,2019-04-11,7680,10240
4480,1.0,2019-04-21,7680,10240
120,1.0,2019-05-01,7680,10240
0,,2019-05-11,7680,10240
85990,1.0,2019-05-21,7680,10240
23183,1.0,2019-06-10,7680,10240
0,,2019-06-20,7680,10240
0,,2019-06-30,7680,10240
0,,2019-07-20,7680,10240
13,1.0,2019-07-30,7680,10240
0,,2019-08-09,7680,10240
